trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,13.504428399959579,13.504428399959579,0.03228139993734658,[0.2890625],[-0.15234375],[1],[0],[0],[1.4733334998600185],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
1,0,1,0,5,14.991186500061303,14.991186500061303,0.01690550008788705,[-0.3619791666666667],[0.4700520833333333],[1],[0],[0],[1.4397061001509428],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
2,0,2,0,5,16.472679199883714,16.472679199883714,0.030157499946653843,[-0.3424479166666667],[0.0234375],[1],[0],[0],[1.3471157997846603],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
3,0,3,0,10,17.870206899940968,17.870206899940968,0.0452910999301821,[0.4661458333333333],[0.3671875],[1],[0],[0],[2.2154478000011295],[],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
4,0,4,0,10,20.13142929994501,20.13142929994501,0.042359899962320924,[-0.022135416666666668],[-0.3072916666666667],[1],[0],[0],[1.4725617999210954],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
5,0,5,0,10,21.6512805998791,21.6512805998791,0.039903700118884444,[0.23177083333333334],[-0.4544270833333333],[1],[0],[0],[1.7012287999968976],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
6,0,6,0,5,23.365760299842805,23.365760299842805,0.014685700181871653,[-0.15755208333333334],[-0.1953125],[1],[0],[0],[1.0483626001514494],[],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
7,0,7,0,5,24.44855639990419,24.44855639990419,0.027210700092837214,[0.38671875],[-0.14453125],[1],[0],[0],[1.250240599969402],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
8,0,8,0,5,25.732292499858886,25.732292499858886,0.02776960004121065,[0.1953125],[-0.006510416666666667],[1],[0],[0],[1.08335530012846],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
9,0,9,0,5,26.843327099923044,26.843327099923044,0.022659899899736047,[-0.19401041666666666],[0.4114583333333333],[1],[0],[0],[1.3877306000795215],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
10,0,10,0,5,28.27000380004756,28.27000380004756,0.029675700003281236,[0.4231770833333333],[0.2513020833333333],[1],[0],[0],[1.1480482001788914],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
11,0,11,0,10,29.468331099953502,29.468331099953502,0.04435520013794303,[0.03515625],[0.029947916666666668],[1],[0],[0],[1.1329968001227826],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
12,0,12,0,5,30.618874500039965,30.618874500039965,0.01717019989155233,[-0.16796875],[-0.4401041666666667],[1],[0],[0],[1.512828900013119],[],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
13,0,13,0,5,32.164778399979696,32.164778399979696,0.026920099975541234,[0.2513020833333333],[0.15885416666666666],[1],[0],[0],[0.8998477000277489],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
14,0,14,0,10,33.120212599867955,33.120212599867955,0.04662499995902181,[0.3463541666666667],[0.18619791666666666],[1],[0],[0],[0.9495735999662429],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
15,0,15,0,5,34.093783600023016,34.093783600023016,0.02156670019030571,[-0.046875],[-0.18880208333333334],[1],[0],[0],[1.1712499000132084],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
16,0,16,0,10,35.31107369996607,35.31107369996607,0.036577000049874187,[-0.18359375],[0.3684895833333333],[1],[0],[0],[1.398016900056973],['target'],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
17,0,17,0,10,36.742252399912104,36.742252399912104,0.028460799949243665,[0.2591145833333333],[0.037760416666666664],[1],[0],[0],[1.2506512000691146],[],835976,001,2022-09-16_07h55.53.756,visual search experiment,2022.2.2,60.03928970281507,
