pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,10.312379800001509,11.30440400000225,11.30440400000225,11.30440400000225,11.30440400000225,11.321019700000761,12.304410099997767,12.304410099997767,x,1,1.0783762999999453,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
150,v,0,1,1,1,,,,,13.404442799997923,14.40464929999871,14.40464929999871,14.40464929999871,14.40464929999871,14.40464929999871,15.404460400000971,15.404460400000971,v,1,0.9536575999954948,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
50,c,0,2,2,2,,,,,16.38769560000219,17.387992700001632,17.387992700001632,17.387992700001632,17.387992700001632,17.387992700001632,18.387735900003463,18.387735900003463,c,1,0.825390799996967,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-150,z,0,3,3,3,,,,,19.23774879999837,20.238055499998154,20.238055499998154,20.238055499998154,20.238055499998154,20.238055499998154,21.237860000001092,21.237860000001092,z,1,0.7649721999987378,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-50,x,1,0,4,0,,,,,22.02113400000235,23.02139950000128,23.02139950000128,23.02139950000128,23.02139950000128,23.02139950000128,24.021361300001445,24.021361300001445,x,1,0.8826073999953223,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
150,v,1,1,5,1,,,,,24.92114600000059,25.921215700000175,25.921215700000175,25.921215700000175,25.921215700000175,25.921215700000175,26.921225300000515,26.921225300000515,v,1,0.8491877999986173,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
50,c,1,2,6,2,,,,,27.787857299997995,28.787865899997996,28.787865899997996,28.787865899997996,28.787865899997996,28.787865899997996,29.787732000004326,29.787732000004326,c,1,1.0167130999980145,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-150,z,1,3,7,3,,,,,30.82143409999844,31.821360000001732,31.821360000001732,31.821360000001732,31.821360000001732,31.821360000001732,32.82111140000052,32.82111140000052,z,1,0.7024881999968784,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-50,x,2,0,8,0,,,,,33.554405900002166,34.55478669999866,34.55478669999866,34.55478669999866,34.55478669999866,34.55478669999866,35.55443920000107,35.55443920000107,x,1,0.6079083000004175,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
150,v,2,1,9,1,,,,,36.18784700000106,37.187916900002165,37.187916900002165,37.187916900002165,37.187916900002165,37.187916900002165,38.18777709999995,38.18777709999995,v,1,0.7646367999986978,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
50,c,2,2,10,2,,,,,38.97123840000131,39.97143710000091,39.97143710000091,39.97143710000091,39.97143710000091,39.97143710000091,40.97120200000063,40.97120200000063,c,1,0.8635966000001645,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-150,z,2,3,11,3,,,,,41.854540799999086,42.85475769999903,42.85475769999903,42.85475769999903,42.85475769999903,42.85475769999903,43.85456359999807,43.85456359999807,z,1,0.6285954999984824,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-50,x,3,0,12,0,,,,,44.504440700002306,45.50456940000004,45.50456940000004,45.50456940000004,45.50456940000004,45.50456940000004,46.504594500001986,46.504594500001986,x,1,2.018873300003179,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
150,v,3,1,13,1,,,,,48.554562299999816,49.55468030000338,49.55468030000338,49.55468030000338,49.55468030000338,49.55468030000338,50.55445570000302,50.55445570000302,v,1,0.8172843999927863,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
50,c,3,2,14,2,,,,,51.38789009999891,52.38803159999952,52.38803159999952,52.38803159999952,52.38803159999952,52.38803159999952,53.38781100000051,53.38781100000051,c,1,0.7635654999976396,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-150,z,3,3,15,3,,,,,54.1711798000033,55.17140620000282,55.17140620000282,55.17140620000282,55.17140620000282,55.17140620000282,56.171352000004845,56.171352000004845,z,1,0.700028299994301,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
-50,x,4,0,16,0,,,,,56.88796340000408,57.888011000002734,57.888011000002734,57.888011000002734,57.888011000002734,57.888011000002734,58.888009900001634,58.888009900001634,x,1,0.7268953999955556,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
150,v,4,1,17,1,,,,,59.637973600001715,60.63816680000309,60.63816680000309,60.63816680000309,60.63816680000309,60.63816680000309,61.638004000000365,61.638004000000365,v,1,0.7794775000002119,480718,001,2022-09-30_07h10.21.682,motor sequence learning,2022.2.2,59.998584034858226,
